step,total_loss
0,8.9632
1,9.3458
2,7.6276
3,7.5664
4,5.8722
5,5.9462
6,5.3139
7,5.2991
8,5.4229
9,4.7217
10,4.9416
11,4.9737
12,4.6382
13,4.6553
14,4.7247
15,4.2288
16,4.5765
17,4.2158
18,4.0597
19,4.1940
20,4.5588
21,4.1611
22,4.1964
23,3.9923
24,3.7976
25,3.8245
26,3.8394
27,3.7370
28,3.7260
29,3.9076
30,3.7893
31,3.6103
32,3.9172
33,4.0701
34,3.6401
35,3.6701
36,3.6886
37,3.7077
38,3.6257
39,3.6957
40,3.6035
41,3.6397
42,3.6567
43,3.4644
44,3.4933
45,3.6807
46,3.6181
47,3.4004
48,3.5927
49,3.4979
50,3.7679
51,3.4693
52,3.6049
53,3.5937
54,3.6128
55,3.5873
56,3.6409
57,3.4905
58,3.5968
59,3.4865
60,3.6256
61,3.5777
62,3.6889
63,3.3407
64,3.7160
65,3.4240
66,3.7510
67,3.6870
68,3.4732
69,3.6287
70,3.6275
71,3.3278
72,3.5933
73,3.7688
74,3.5563
75,3.9497
76,3.8103
77,3.8550
78,4.4752
79,4.0350
80,5.3799
81,4.2960
82,3.9370
83,3.8565
84,4.1530
85,4.2091
86,4.0372
87,3.8561
88,4.7513
89,4.1245
90,4.1063
91,4.1583
92,3.9069
93,4.3502
94,4.0461
95,4.3630
96,4.2403
97,4.1847
98,4.4074
99,4.2224
100,3.9032
101,4.5668
102,4.0944
103,4.3066
104,4.1768
105,4.9437
106,5.2024
107,4.0845
108,4.0840
109,4.7659
110,4.7414
111,4.1173
112,4.3728
113,4.3707
114,4.1394
115,5.4673
116,4.8516
117,4.4664
118,4.8496
119,4.8181
120,4.9657
121,4.7405
122,4.7830
123,4.6218
124,4.7117
