step,motif_distogram_loss,motif_coords_loss,motif_fape_loss
0,1.9567,1.2076,2.3347
1,1.9916,1.6585,2.4785
2,2.1482,1.6667,3.3539
3,2.4528,2.1486,3.5383
4,2.1091,1.0556,2.6832
5,1.8876,0.9777,2.0558
6,1.7851,1.2101,2.2226
7,2.1447,0.9374,2.2224
8,2.1040,0.7229,1.9511
9,1.8060,0.9480,1.8237
10,2.1405,1.1983,2.2699
11,1.6614,0.8808,1.9206
12,1.8448,0.7759,1.5732
13,1.8153,1.0666,2.1579
14,1.8102,1.0232,2.4603
15,1.9499,0.9164,1.7821
16,2.0052,0.9747,2.2928
17,1.9384,0.9348,1.8147
18,2.0196,0.8391,1.5694
19,1.8961,1.1265,2.5064
20,1.8802,1.8740,2.1593
21,2.0167,1.0242,1.9738
22,1.8523,1.0284,2.1369
23,1.8723,0.9082,1.9842
24,2.0254,0.9079,1.9645
25,2.0214,0.8389,1.5410
26,1.8228,0.6084,1.6274
27,1.9183,0.8605,1.6972
28,1.8860,0.9928,2.1169
29,1.8308,1.0094,2.1444
30,1.9505,0.7609,1.7420
31,2.0577,0.8667,1.7140
32,1.7379,1.0396,2.2032
33,1.9871,1.0993,2.3023
34,1.9735,0.9004,1.9328
35,2.1025,0.9678,2.3520
36,2.1150,1.0112,2.2215
37,2.4349,1.1444,2.6158
38,1.6492,1.1660,2.1175
39,2.0916,0.9910,2.0679
40,1.8667,1.0089,1.8579
41,1.9460,1.0692,2.3745
42,2.1296,0.7553,1.7376
43,2.0555,0.9270,2.0114
44,2.1040,0.7991,1.8234
45,2.0404,1.0412,2.1254
46,2.0936,1.1041,2.0661
47,2.1418,0.9429,1.7834
48,2.0984,1.0635,2.6110
49,2.2276,0.8366,1.7447
50,2.0404,1.2261,2.6231
51,1.9236,1.0099,1.9909
52,2.1992,1.0458,2.1459
53,2.0379,1.0508,2.1324
54,1.9283,1.0895,2.3065
55,2.0400,1.1635,2.6966
56,1.9817,0.8168,1.4622
57,1.9238,0.8334,1.8686
58,1.9775,1.0252,2.2594
59,2.1448,0.8077,1.8498
60,1.9846,0.7654,1.6754
61,1.8934,0.7264,1.7988
62,2.1496,1.0988,2.2194
63,2.0551,0.8304,1.7318
64,2.0865,1.0780,2.2549
65,2.0773,1.0171,1.9676
66,1.9846,0.9784,2.0187
67,1.7247,0.8928,2.1420
68,2.2025,0.9478,1.6310
69,2.2665,1.0303,1.9765
70,2.4631,1.0157,2.0789
71,2.2055,0.8253,1.9098
72,2.1018,1.2732,2.3900
73,2.0815,1.0028,2.0317
74,2.0677,0.9596,1.9487
75,2.0431,0.9966,2.0426
76,2.0686,0.8882,1.9056
77,2.0379,1.2144,2.4636
78,1.9695,1.3044,2.5312
79,2.0679,1.0722,2.4331
80,2.2645,2.8043,4.6807
81,2.0297,0.8282,1.8801
82,2.0670,1.0552,2.3168
83,1.9893,0.6638,1.5466
84,1.8991,0.9598,1.9802
85,1.8843,0.8828,1.9151
86,1.8497,1.1165,2.3332
87,2.0810,1.1702,2.2409
88,2.0302,2.0475,4.4109
89,2.0341,1.2241,2.3975
90,1.8991,0.7879,1.9220
91,2.0871,0.9930,2.3286
92,1.9923,1.0488,2.4594
93,1.8718,1.3419,2.5207
94,2.1342,1.1020,2.4066
95,2.1068,1.2142,2.2276
96,2.0349,1.0661,2.2854
97,1.9868,1.3155,2.4503
98,2.1661,1.2643,2.6226
99,1.8857,1.1380,2.3693
100,2.1132,1.1194,2.1753
101,2.0123,1.0610,2.2422
102,2.0305,0.9317,2.0505
103,2.0862,0.8796,2.0182
104,2.1706,1.2159,2.8206
105,2.2011,1.1705,2.4672
106,2.2208,1.6415,3.9230
107,2.0644,0.8734,1.9269
108,2.0277,1.0316,2.5383
109,1.9568,1.6792,3.3046
110,2.0914,1.3247,2.4838
111,2.2961,1.1243,2.2225
112,1.9338,1.2511,2.6204
113,2.0700,1.1864,2.3637
114,2.1524,1.0160,2.3831
115,2.1950,2.5205,4.9863
116,2.2443,1.1971,2.2202
117,1.9870,1.3447,2.2105
118,2.1329,1.3369,2.6522
119,2.2362,1.2551,2.4718
120,2.1487,1.0759,2.4170
121,2.0846,0.9975,2.1157
122,2.1397,1.3024,2.4198
123,2.0869,1.1305,2.1729
124,2.0940,1.0602,2.1158
